epoch,test_acc,train_acc,test_clik,train_clik
1,0.96044921875,0.9670822251773049,-0.0130234305,-0.011558544
2,0.96591796875,0.9753878546099292,-0.010604608,-0.0077891
3,0.9697265625,0.9783244680851064,-0.010518437,-0.0064620995
4,0.980078125,0.9914561170212766,-0.0072082616,-0.002737299
5,0.97783203125,0.9908078457446808,-0.007895776,-0.0027401075
6,0.98076171875,0.9950299202127659,-0.006782288,-0.0016143279
7,0.979296875,0.9948636968085106,-0.007714489,-0.0015350422
8,0.98212890625,0.9979055851063829,-0.006695002,-0.0006741683
9,0.98095703125,0.9977227393617021,-0.00724464,-0.0007642451
10,0.98076171875,0.9975066489361702,-0.008080029,-0.00080874655
11,0.98251953125,0.9983377659574468,-0.006674151,-0.0005412509
12,0.98056640625,0.9975731382978723,-0.0077421833,-0.0008067169
13,0.98271484375,0.998221409574468,-0.006975901,-0.0005237386
14,0.9826171875,0.9989527925531915,-0.0077108373,-0.0003547941
15,0.98388671875,0.9993184840425532,-0.006893284,-0.00021022836
16,0.980078125,0.9971409574468085,-0.009441559,-0.0009275716
17,0.9791015625,0.997406914893617,-0.009476407,-0.0008107199
18,0.982421875,0.9990026595744681,-0.008651091,-0.00031392943
19,0.98525390625,0.9993351063829787,-0.0071531404,-0.00020371855
20,0.98037109375,0.9978889627659574,-0.009482719,-0.00068043463
21,0.98115234375,0.997938829787234,-0.008631021,-0.0005770594
22,0.98125,0.9985538563829788,-0.008499986,-0.00046679398
23,0.9833984375,0.9991356382978723,-0.007958111,-0.00028602086
24,0.98359375,0.9999002659574469,-0.007773999,-6.0732484e-5
25,0.98203125,0.9989860372340426,-0.010013662,-0.00028709316
26,0.9826171875,0.9987367021276595,-0.009054327,-0.00036165977
27,0.98369140625,0.9990192819148936,-0.008632617,-0.00030307387
28,0.982421875,0.9990192819148936,-0.009074867,-0.00030103928
29,0.98369140625,0.998969414893617,-0.008493342,-0.0002784631
30,0.98359375,0.9994847074468085,-0.008518531,-0.00016419907
31,0.98447265625,0.999783909574468,-0.007848252,-6.9111076e-5
32,0.983203125,0.9994348404255319,-0.008033706,-0.00019195693
33,0.984765625,0.9999002659574469,-0.007826352,-4.2744774e-5
34,0.98486328125,1.0,-0.0076447804,-3.1258453e-6
35,0.98466796875,1.0,-0.00778308,-2.0011823e-6
36,0.984765625,1.0,-0.00788301,-1.5338388e-6
37,0.984765625,1.0,-0.007970364,-1.2294274e-6
38,0.984765625,1.0,-0.008051821,-1.0094899e-6
39,0.9849609375,1.0,-0.008128153,-8.429116e-7
40,0.98505859375,1.0,-0.008203148,-7.1229044e-7
41,0.9849609375,1.0,-0.008275401,-6.0749176e-7
42,0.9849609375,1.0,-0.008345398,-5.220067e-7
43,0.9849609375,1.0,-0.008413514,-4.5112202e-7
44,0.9849609375,1.0,-0.008482297,-3.9194597e-7
45,0.9849609375,1.0,-0.0085485745,-3.421205e-7
46,0.9849609375,1.0,-0.008614387,-2.9983684e-7
47,0.9849609375,1.0,-0.008678947,-2.6391987e-7
48,0.98486328125,1.0,-0.008742696,-2.330971e-7
49,0.98486328125,1.0,-0.0088047115,-2.0665031e-7
50,0.98486328125,1.0,-0.008865632,-1.8368817e-7
51,0.98486328125,1.0,-0.008927705,-1.632531e-7
52,0.9849609375,1.0,-0.009007677,-1.427461e-7
53,0.98505859375,1.0,-0.009121031,-1.2007703e-7
54,0.98505859375,1.0,-0.009250567,-9.898305e-8
55,0.98515625,1.0,-0.009371228,-8.3331706e-8
56,0.9849609375,1.0,-0.00947524,-7.241212e-8
57,0.98486328125,1.0,-0.009557249,-6.5071475e-8
58,0.98486328125,1.0,-0.009622946,-5.9658895e-8
59,0.98486328125,1.0,-0.009683012,-5.534337e-8
60,0.98486328125,1.0,-0.009731015,-5.2190753e-8
61,0.98486328125,1.0,-0.009771975,-4.955139e-8
62,0.98486328125,1.0,-0.009810848,-4.7338215e-8
63,0.98486328125,1.0,-0.009851905,-4.5233126e-8
64,0.98486328125,1.0,-0.009890393,-4.346042e-8
65,0.98486328125,1.0,-0.009927625,-4.1657138e-8
66,0.98486328125,1.0,-0.009961932,-4.0077783e-8
67,0.98486328125,1.0,-0.010005773,-3.842194e-8
68,0.9849609375,1.0,-0.010046027,-3.676926e-8
69,0.9849609375,1.0,-0.010088018,-3.5131894e-8
70,0.9849609375,1.0,-0.010131281,-3.3566646e-8
71,0.9849609375,1.0,-0.010173758,-3.202007e-8
72,0.9849609375,1.0,-0.010216282,-3.0546037e-8
73,0.9849609375,1.0,-0.010255612,-2.9084918e-8
74,0.9849609375,1.0,-0.010302946,-2.7643061e-8
75,0.9849609375,1.0,-0.01034552,-2.621709e-8
76,0.9849609375,1.0,-0.010385743,-2.4831069e-8
77,0.98486328125,1.0,-0.010437102,-2.3453977e-8
78,0.98486328125,1.0,-0.010484294,-2.2128548e-8
79,0.98486328125,1.0,-0.010533703,-2.0817835e-8
80,0.98486328125,1.0,-0.010586563,-1.9572477e-8
81,0.98486328125,1.0,-0.010644635,-1.835553e-8
82,0.98486328125,1.0,-0.010704651,-1.7184883e-8
83,0.98486328125,1.0,-0.010768635,-1.6047416e-8
84,0.9849609375,1.0,-0.0108300075,-1.4991413e-8
85,0.98486328125,1.0,-0.010886823,-1.39773375e-8
86,0.98486328125,1.0,-0.010940323,-1.30081546e-8
87,0.98486328125,1.0,-0.010998593,-1.2096396e-8
88,0.98486328125,1.0,-0.011060881,-1.12084795e-8
89,0.9849609375,1.0,-0.011139239,-1.0360499e-8
90,0.9849609375,1.0,-0.01121297,-9.560402e-9
91,0.9849609375,1.0,-0.0112849455,-8.814346e-9
92,0.98486328125,1.0,-0.011357241,-8.118361e-9
93,0.98486328125,1.0,-0.011424664,-7.48973e-9
94,0.98486328125,1.0,-0.011494589,-6.8865282e-9
95,0.984765625,1.0,-0.011561437,-6.3254477e-9
96,0.984765625,1.0,-0.011633577,-5.8033107e-9
97,0.984765625,1.0,-0.011707555,-5.3129625e-9
98,0.984765625,1.0,-0.011782543,-4.8551985e-9
99,0.984765625,1.0,-0.011857858,-4.4357797e-9
100,0.984765625,1.0,-0.011934687,-4.046561e-9
